source_ref	repo_key	kind	path_or_url	lines_or_id	read_reason	takeaway	lead_key	scope_id	review_id	source_revision	source_fingerprint	checked_at
prosemirror-model:src/schema.ts	prosemirror-model	source	src/schema.ts	bounded relevant declarations and consumers	object versus editable-content ownership	See README comparison; upstream tests inspected only	media:object-with-editable-content:selection-structure	media	2026-09-21-media-object-editable-content	6264de069d8439131e88f8ba06973551916184e4	e7eb493c877d6f50db1ee0f0c3cbb35dc6d898e43491bbf51ddd502a7b23af2c	2026-09-21
prosemirror-view:src/viewdesc.ts	prosemirror-view	source	src/viewdesc.ts	bounded relevant declarations and consumers	object versus editable-content ownership	See README comparison; upstream tests inspected only	media:object-with-editable-content:selection-structure	media	2026-09-21-media-object-editable-content	ca4c78e9b56f1b164c0b3758b59d8748f11b7534	73205e5de91d68f36bd7fb22e6e8e44f33997a7eac73c61f6218d1e4c1cac3cd	2026-09-21
prosemirror-view:src/input.ts	prosemirror-view	source	src/input.ts	bounded relevant declarations and consumers	object versus editable-content ownership	See README comparison; upstream tests inspected only	media:object-with-editable-content:selection-structure	media	2026-09-21-media-object-editable-content	ca4c78e9b56f1b164c0b3758b59d8748f11b7534	33751f88e1361059693a7aabba9f0e062c732f2881fa8f512d9face48995d25c	2026-09-21
prosemirror-view:src/capturekeys.ts	prosemirror-view	source	src/capturekeys.ts	bounded relevant declarations and consumers	object versus editable-content ownership	See README comparison; upstream tests inspected only	media:object-with-editable-content:selection-structure	media	2026-09-21-media-object-editable-content	ca4c78e9b56f1b164c0b3758b59d8748f11b7534	edc174a4deb3e5fe0bcc033fc3ba404aa1fdb8e00cf3163516d68b4f990e4ff6	2026-09-21
prosemirror-commands:src/commands.ts	prosemirror-commands	source	src/commands.ts	bounded relevant declarations and consumers	object versus editable-content ownership	See README comparison; upstream tests inspected only	media:object-with-editable-content:selection-structure	media	2026-09-21-media-object-editable-content	52a84a842774fadec3b167bcdbd56085ec6c85df	b7cea4c5b7f0d8c3c2d9306de430720f608c014332cfb284d848b6f8501224c2	2026-09-21
prosemirror-schema-basic:src/schema-basic.ts	prosemirror-schema-basic	source	src/schema-basic.ts	bounded relevant declarations and consumers	object versus editable-content ownership	See README comparison; upstream tests inspected only	media:object-with-editable-content:selection-structure	media	2026-09-21-media-object-editable-content	6daea265c3983a04f272f510b99493868919d374	a5fd3c9387c93e540b72b53831b8bc12c5e50c2638737767ef8dcb23c52f8be2	2026-09-21
wordgard:src/types/schema.ts	wordgard	source	src/types/schema.ts	bounded relevant declarations and consumers	object versus editable-content ownership	See README comparison; upstream tests inspected only	media:object-with-editable-content:selection-structure	media	2026-09-21-media-object-editable-content	b5ad0d057e2790c8cf971c85a9d2fb7e4a82da54	26fc2e9cc9113bed403c905d1b4ad625d6d3b51a5a0fbc1883082a99c95ac2b6	2026-09-21
wordgard:src/schema/image.ts	wordgard	source	src/schema/image.ts	bounded relevant declarations and consumers	object versus editable-content ownership	See README comparison; upstream tests inspected only	media:object-with-editable-content:selection-structure	media	2026-09-21-media-object-editable-content	b5ad0d057e2790c8cf971c85a9d2fb7e4a82da54	b85a487318f9a4896daa14192eba1a0fae98d722b69596fe76dfd80cd0bdb46e	2026-09-21
wordgard:src/doc/node.ts	wordgard	source	src/doc/node.ts	bounded relevant declarations and consumers	object versus editable-content ownership	See README comparison; upstream tests inspected only	media:object-with-editable-content:selection-structure	media	2026-09-21-media-object-editable-content	b5ad0d057e2790c8cf971c85a9d2fb7e4a82da54	001a408809c5c94fb1f1b6b41c9c4a44c0fdc78290b65db66f04246fb593ecbe	2026-09-21
wordgard:src/state/state.ts	wordgard	source	src/state/state.ts	bounded relevant declarations and consumers	object versus editable-content ownership	See README comparison; upstream tests inspected only	media:object-with-editable-content:selection-structure	media	2026-09-21-media-object-editable-content	b5ad0d057e2790c8cf971c85a9d2fb7e4a82da54	8a1970ba1f34643c3e755213d01bdcb4c3d34bb53671929b487ad551234ba7e6	2026-09-21
wordgard:src/editor/selection.ts	wordgard	source	src/editor/selection.ts	bounded relevant declarations and consumers	object versus editable-content ownership	See README comparison; upstream tests inspected only	media:object-with-editable-content:selection-structure	media	2026-09-21-media-object-editable-content	b5ad0d057e2790c8cf971c85a9d2fb7e4a82da54	bbe35a8472dadcb8db01777fc0752914d1c2343a3b9a72d684de291de82d53d1	2026-09-21
wordgard:src/command/commands.ts	wordgard	source	src/command/commands.ts	bounded relevant declarations and consumers	object versus editable-content ownership	See README comparison; upstream tests inspected only	media:object-with-editable-content:selection-structure	media	2026-09-21-media-object-editable-content	b5ad0d057e2790c8cf971c85a9d2fb7e4a82da54	5dc0435ed15549b0cb93834cf10f4be23451e8e7c45cce1ae0dfdc93e5ea1a63	2026-09-21
wordgard:src/command/helper.ts	wordgard	source	src/command/helper.ts	bounded relevant declarations and consumers	object versus editable-content ownership	See README comparison; upstream tests inspected only	media:object-with-editable-content:selection-structure	media	2026-09-21-media-object-editable-content	b5ad0d057e2790c8cf971c85a9d2fb7e4a82da54	ee17c435ed0224827a2331d9c5c7ef5d21df2bd2dd80ba2f67de3037bd8797f7	2026-09-21
wordgard:test/webtest-serialize.ts	wordgard	source	test/webtest-serialize.ts	bounded relevant declarations and consumers	object versus editable-content ownership	See README comparison; upstream tests inspected only	media:object-with-editable-content:selection-structure	media	2026-09-21-media-object-editable-content	b5ad0d057e2790c8cf971c85a9d2fb7e4a82da54	384eba2cec242ec700171fa51f0ae78c3166385ba79c57b2beb053e0192ee942	2026-09-21
wordgard:test/webtest-resolve-dom.ts	wordgard	source	test/webtest-resolve-dom.ts	bounded relevant declarations and consumers	object versus editable-content ownership	See README comparison; upstream tests inspected only	media:object-with-editable-content:selection-structure	media	2026-09-21-media-object-editable-content	b5ad0d057e2790c8cf971c85a9d2fb7e4a82da54	5976cb08f58b6e0daf37655fcee9fa3f07d4a7d90f605631b59719bc347527da	2026-09-21
wordgard:test/test-commands.ts	wordgard	source	test/test-commands.ts	bounded relevant declarations and consumers	object versus editable-content ownership	See README comparison; upstream tests inspected only	media:object-with-editable-content:selection-structure	media	2026-09-21-media-object-editable-content	b5ad0d057e2790c8cf971c85a9d2fb7e4a82da54	ce8193146d3242bcefe10b2fb1a5781eb326feebe4cfb3f8fb59bf254c4e5a28	2026-09-21
lexical:packages/lexical-playground/src/nodes/ImageNode.tsx	lexical	source	packages/lexical-playground/src/nodes/ImageNode.tsx	bounded relevant declarations and consumers	object versus editable-content ownership	See README comparison; upstream tests inspected only	media:object-with-editable-content:selection-structure	media	2026-09-21-media-object-editable-content	dd5c41b13193efa9ab1574234d8593d2c9e4f988	53d53300e282452aab58a8eead378d2bbdd03721cc557962af9fe611fa81e31e	2026-09-21
lexical:packages/lexical-playground/src/nodes/ImageComponent.tsx	lexical	source	packages/lexical-playground/src/nodes/ImageComponent.tsx	bounded relevant declarations and consumers	object versus editable-content ownership	See README comparison; upstream tests inspected only	media:object-with-editable-content:selection-structure	media	2026-09-21-media-object-editable-content	dd5c41b13193efa9ab1574234d8593d2c9e4f988	f8a80ff2c3676b522fac4d3205791a739a617c8c2c3034e1be88ddb847f48e84	2026-09-21
lexical:packages/lexical/src/nodes/LexicalDecoratorNode.ts	lexical	source	packages/lexical/src/nodes/LexicalDecoratorNode.ts	bounded relevant declarations and consumers	object versus editable-content ownership	See README comparison; upstream tests inspected only	media:object-with-editable-content:selection-structure	media	2026-09-21-media-object-editable-content	dd5c41b13193efa9ab1574234d8593d2c9e4f988	dabfc12aa879c2a14bff60eb4a83b3655f6ba1a1867da04f1698f55bb1868dde	2026-09-21
lexical:packages/lexical/src/nodes/LexicalElementNode.ts	lexical	source	packages/lexical/src/nodes/LexicalElementNode.ts	bounded relevant declarations and consumers	object versus editable-content ownership	See README comparison; upstream tests inspected only	media:object-with-editable-content:selection-structure	media	2026-09-21-media-object-editable-content	dd5c41b13193efa9ab1574234d8593d2c9e4f988	3fc89dfd814089edab2f30469ba8ce7b41795042e75be0428ed83d43480a0d6a	2026-09-21
lexical:packages/lexical/src/LexicalSlot.ts	lexical	source	packages/lexical/src/LexicalSlot.ts	bounded relevant declarations and consumers	object versus editable-content ownership	See README comparison; upstream tests inspected only	media:object-with-editable-content:selection-structure	media	2026-09-21-media-object-editable-content	dd5c41b13193efa9ab1574234d8593d2c9e4f988	14698598851a7cf3affc5cbba192fde0fc2b1eccb996b4f17bd596f8accdf1c6	2026-09-21
lexical:packages/lexical/src/LexicalSelection.ts	lexical	source	packages/lexical/src/LexicalSelection.ts	bounded relevant declarations and consumers	object versus editable-content ownership	See README comparison; upstream tests inspected only	media:object-with-editable-content:selection-structure	media	2026-09-21-media-object-editable-content	dd5c41b13193efa9ab1574234d8593d2c9e4f988	925a0f22a337d34dc049e7f06d59713c50b742b813bb9c46fabb7963aa5d619e	2026-09-21
lexical:packages/lexical-website/docs/concepts/named-slots.md	lexical	source	packages/lexical-website/docs/concepts/named-slots.md	bounded relevant declarations and consumers	object versus editable-content ownership	See README comparison; upstream tests inspected only	media:object-with-editable-content:selection-structure	media	2026-09-21-media-object-editable-content	dd5c41b13193efa9ab1574234d8593d2c9e4f988	7a8b8850512a1266f0ff27380dc48c4f8dee0a63c307597a2358c895ca8fecfb	2026-09-21
lexical:packages/lexical-playground/src/plugins/PullQuoteExtension/PullQuoteNode.tsx	lexical	source	packages/lexical-playground/src/plugins/PullQuoteExtension/PullQuoteNode.tsx	bounded relevant declarations and consumers	object versus editable-content ownership	See README comparison; upstream tests inspected only	media:object-with-editable-content:selection-structure	media	2026-09-21-media-object-editable-content	dd5c41b13193efa9ab1574234d8593d2c9e4f988	fb7491fb200c770ccbc09230f3b97a8c2124807db298de44ce26a789a3023d7a	2026-09-21
lexical:packages/lexical-playground/src/plugins/PullQuoteExtension/index.tsx	lexical	source	packages/lexical-playground/src/plugins/PullQuoteExtension/index.tsx	bounded relevant declarations and consumers	object versus editable-content ownership	See README comparison; upstream tests inspected only	media:object-with-editable-content:selection-structure	media	2026-09-21-media-object-editable-content	dd5c41b13193efa9ab1574234d8593d2c9e4f988	afb2fd19d883ec701b5397782e64f7d3372b2a0bb659ea97ecb74919fc4eabbd	2026-09-21
lexical:packages/lexical-playground/src/nodes/hostChromeSelection.ts	lexical	source	packages/lexical-playground/src/nodes/hostChromeSelection.ts	bounded relevant declarations and consumers	object versus editable-content ownership	See README comparison; upstream tests inspected only	media:object-with-editable-content:selection-structure	media	2026-09-21-media-object-editable-content	dd5c41b13193efa9ab1574234d8593d2c9e4f988	973acef4dfe8e99ff4ae11bfdf45bd6601edc0266548bc3bd35c70107f46f165	2026-09-21
